[INFO][ProducerMain] 2025/03/26 05:32:20.848781 Starting producer in dev environment
[WARN][ProducerMain] 2025/03/26 05:32:20.861278 Error creating topic (it may already exist): failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused
[WARN][KafkaAdmin] 2025/03/26 05:32:20.862346 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:21.869702 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:22.872333 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:23.873590 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:24.875837 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:25.879529 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:27.160515 Topic test-topic not ready yet: [5] Leader Not Available: the cluster is in the middle of a leadership election and there is currently no leader for this partition and hence it is unavailable for writes
[WARN][KafkaAdmin] 2025/03/26 05:32:28.164754 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:29.172471 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:30.175952 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:31.183660 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:32.188309 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:33.191867 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:34.195626 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:35.200597 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:36.208034 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:37.221312 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:38.228379 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:39.240219 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:40.250895 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:41.257498 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:42.262509 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:43.266929 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:44.272579 Topic test-topic has 1 partitions, expected 50
