[INFO][ProducerMain] 2025/03/26 05:32:20.820113 Starting producer in dev environment
[WARN][ProducerMain] 2025/03/26 05:32:20.834948 Error creating topic (it may already exist): failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused
[WARN][KafkaAdmin] 2025/03/26 05:32:20.836253 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:21.840348 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:22.842825 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:23.845136 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:24.846744 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:25.849352 Failed to connect to Kafka: failed to dial: failed to open connection to kafka1:29092: dial tcp 172.19.0.6:29092: connect: connection refused, retrying...
[WARN][KafkaAdmin] 2025/03/26 05:32:27.128765 Topic test-topic not ready yet: [3] Unknown Topic Or Partition: the request is for a topic or partition that does not exist on this broker
[WARN][KafkaAdmin] 2025/03/26 05:32:28.142562 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:29.151314 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:30.155237 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:31.167971 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:32:32.176847 Topic test-topic has 1 partitions, expected 50
